STATUS	DATA SOLICITAÇÃO	PAÍS DE ORIGEM	GÊNERO	ANO DE NASCIMENTO	CIDADE SOLICITAÇÃO	DATA DA  DECISÃO
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	M	1990	MANAUS	25/01/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	F	1995	MANAUS	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	ÁFRICA DO SUL	F	1964	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2017	REP.DEM DO CONGO	M	1989	JOÃO PESSOA	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	ANGOLA	M	1980	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	MALI	M	1985	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	REP.DEM DO CONGO	M	1985	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2016	QUÊNIA	F	2014	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2016	QUÊNIA	F	1985	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	GUIANA	M	1985	GUARULHOS	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2016	GUINÉ-BISSAU	M	1981	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	BANGLADESH	M	1994	CAXIAS DO SUL	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	TOGO	F	1970	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	GÂMBIA	M	1991	RIO BRANCO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	ANGOLA	M	1970	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2018	ÁFRICA DO SUL	F	1970	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	NIGÉRIA	M	1980	CAMPINAS	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	ANGOLA	M	1975	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	ANGOLA	M	1995	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	BANGLADESH	M	1978	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	ANGOLA	F	1981	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	SENEGAL	M	1985	RIO BRANCO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	SENEGAL	M	1978	BRASILÉIA	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	SENEGAL	M	1987	BRASILÉIA	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2016	SENEGAL	M	1977	RIO BRANCO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	SENEGAL	M	1976	BRASILÉIA	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	SENEGAL	M	1989	CAXIAS DO SUL	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	SENEGAL	M	1993	CAXIAS DO SUL	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	SENEGAL	M	1987	BRASILÉIA	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	SENEGAL	M	1973	CAXIAS DO SUL	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	SENEGAL	M	1987	CAXIAS DO SUL	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	SENEGAL	M	1973	ERECHIM	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	BANGLADESH	M	1985	GUAÍRA	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	BANGLADESH	M	1983	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	BANGLADESH	M	1991	GUAÍRA	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	BANGLADESH	M	1986	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2016	BANGLADESH	M	1991	GUARULHOS	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2016	BANGLADESH	M	1989	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	SERRA LEOA	M	1984	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2014	SERRA LEOA	M	1964	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2017	ANGOLA	M	1976	MACAÉ	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2016	ANGOLA	F	1992	CAMPINAS	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	ANGOLA	M	1968	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2016	ANGOLA	M	1995	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2015	ANGOLA	M	1988	SÃO PAULO	25/01/2019
ELEGIBILIDADE - INDEFERIDO	2016	ANGOLA	M	1992	CAMPINAS	25/01/2019
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO	2018	AFEGANISTÃO	M	1997	BRASÍLIA	25/01/2019
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO	2015	COLÔMBIA	F	2000	RIO DE JANEIRO	25/01/2019
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO	2017	CUBA	F	2007	RECIFE	25/01/2019
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO	2017	CUBA	F	1984	RECIFE	25/01/2019
